2025-07-18 23:59:28,725 - === [SP500] Fold 1/5 시작 ===
2025-07-18 23:59:38,923 - Fold 1 Epoch 1: TrainLoss=0.6885, ValLoss=0.6563, Acc=0.6618, F1=0.7965
2025-07-18 23:59:39,128 - Fold 1 Epoch 2: TrainLoss=0.6849, ValLoss=0.6530, Acc=0.6618, F1=0.7965
2025-07-18 23:59:39,342 - Fold 1 Epoch 3: TrainLoss=0.6852, ValLoss=0.6575, Acc=0.6618, F1=0.7965
2025-07-18 23:59:39,545 - Fold 1 Epoch 4: TrainLoss=0.6849, ValLoss=0.6525, Acc=0.6618, F1=0.7965
2025-07-18 23:59:39,756 - Fold 1 Epoch 5: TrainLoss=0.6850, ValLoss=0.6544, Acc=0.6618, F1=0.7965
2025-07-18 23:59:39,971 - Fold 1 Epoch 6: TrainLoss=0.6847, ValLoss=0.6532, Acc=0.6618, F1=0.7965
2025-07-18 23:59:40,180 - Fold 1 Epoch 7: TrainLoss=0.6850, ValLoss=0.6530, Acc=0.6618, F1=0.7965
2025-07-18 23:59:40,381 - Fold 1 Epoch 8: TrainLoss=0.6850, ValLoss=0.6521, Acc=0.6618, F1=0.7965
2025-07-18 23:59:40,578 - Fold 1 Epoch 9: TrainLoss=0.6849, ValLoss=0.6536, Acc=0.6618, F1=0.7965
2025-07-18 23:59:40,774 - Fold 1 Epoch 10: TrainLoss=0.6846, ValLoss=0.6528, Acc=0.6618, F1=0.7965
2025-07-18 23:59:40,970 - Fold 1 Epoch 11: TrainLoss=0.6846, ValLoss=0.6551, Acc=0.6618, F1=0.7965
2025-07-18 23:59:41,166 - Fold 1 Epoch 12: TrainLoss=0.6848, ValLoss=0.6520, Acc=0.6618, F1=0.7965
2025-07-18 23:59:41,363 - Fold 1 Epoch 13: TrainLoss=0.6858, ValLoss=0.6538, Acc=0.6618, F1=0.7965
2025-07-18 23:59:41,557 - Fold 1 Epoch 14: TrainLoss=0.6852, ValLoss=0.6583, Acc=0.6618, F1=0.7965
2025-07-18 23:59:41,768 - Fold 1 Epoch 15: TrainLoss=0.6853, ValLoss=0.6544, Acc=0.6618, F1=0.7965
2025-07-18 23:59:41,989 - Fold 1 Epoch 16: TrainLoss=0.6850, ValLoss=0.6529, Acc=0.6618, F1=0.7965
2025-07-18 23:59:42,199 - Fold 1 Epoch 17: TrainLoss=0.6849, ValLoss=0.6553, Acc=0.6618, F1=0.7965
2025-07-18 23:59:42,405 - Fold 1 Epoch 18: TrainLoss=0.6846, ValLoss=0.6546, Acc=0.6618, F1=0.7965
2025-07-18 23:59:42,615 - Fold 1 Epoch 19: TrainLoss=0.6844, ValLoss=0.6526, Acc=0.6618, F1=0.7965
2025-07-18 23:59:42,833 - Fold 1 Epoch 20: TrainLoss=0.6849, ValLoss=0.6524, Acc=0.6618, F1=0.7965
2025-07-18 23:59:43,050 - Fold 1 Epoch 21: TrainLoss=0.6847, ValLoss=0.6536, Acc=0.6618, F1=0.7965
2025-07-18 23:59:43,282 - Fold 1 Epoch 22: TrainLoss=0.6853, ValLoss=0.6520, Acc=0.6618, F1=0.7965
2025-07-18 23:59:43,491 - Fold 1 Epoch 23: TrainLoss=0.6850, ValLoss=0.6505, Acc=0.6618, F1=0.7965
2025-07-18 23:59:43,703 - Fold 1 Epoch 24: TrainLoss=0.6846, ValLoss=0.6546, Acc=0.6618, F1=0.7965
2025-07-18 23:59:43,928 - Fold 1 Epoch 25: TrainLoss=0.6850, ValLoss=0.6542, Acc=0.6618, F1=0.7965
2025-07-18 23:59:44,149 - Fold 1 Epoch 26: TrainLoss=0.6851, ValLoss=0.6543, Acc=0.6618, F1=0.7965
2025-07-18 23:59:44,390 - Fold 1 Epoch 27: TrainLoss=0.6845, ValLoss=0.6515, Acc=0.6618, F1=0.7965
2025-07-18 23:59:44,610 - Fold 1 Epoch 28: TrainLoss=0.6847, ValLoss=0.6532, Acc=0.6618, F1=0.7965
2025-07-18 23:59:44,829 - Fold 1 Epoch 29: TrainLoss=0.6849, ValLoss=0.6505, Acc=0.6618, F1=0.7965
2025-07-18 23:59:45,055 - Fold 1 Epoch 30: TrainLoss=0.6847, ValLoss=0.6544, Acc=0.6618, F1=0.7965
2025-07-18 23:59:45,104 - 모델 저장 완료: output/lstm_2/sp500/sp500_fold1.pth
2025-07-18 23:59:45,105 - === [SP500] Fold 2/5 시작 ===
2025-07-18 23:59:45,408 - Fold 2 Epoch 1: TrainLoss=0.6830, ValLoss=0.7250, Acc=0.4734, F1=0.6426
2025-07-18 23:59:45,636 - Fold 2 Epoch 2: TrainLoss=0.6719, ValLoss=0.7225, Acc=0.4734, F1=0.6426
2025-07-18 23:59:45,841 - Fold 2 Epoch 3: TrainLoss=0.6713, ValLoss=0.7187, Acc=0.4734, F1=0.6426
2025-07-18 23:59:46,050 - Fold 2 Epoch 4: TrainLoss=0.6702, ValLoss=0.7329, Acc=0.4734, F1=0.6426
2025-07-18 23:59:46,266 - Fold 2 Epoch 5: TrainLoss=0.6725, ValLoss=0.7217, Acc=0.4734, F1=0.6426
2025-07-18 23:59:46,485 - Fold 2 Epoch 6: TrainLoss=0.6706, ValLoss=0.7276, Acc=0.4734, F1=0.6426
2025-07-18 23:59:46,713 - Fold 2 Epoch 7: TrainLoss=0.6714, ValLoss=0.7339, Acc=0.4734, F1=0.6426
2025-07-18 23:59:46,926 - Fold 2 Epoch 8: TrainLoss=0.6725, ValLoss=0.7190, Acc=0.4734, F1=0.6426
2025-07-18 23:59:47,135 - Fold 2 Epoch 9: TrainLoss=0.6726, ValLoss=0.7130, Acc=0.4734, F1=0.6426
2025-07-18 23:59:47,342 - Fold 2 Epoch 10: TrainLoss=0.6716, ValLoss=0.7246, Acc=0.4734, F1=0.6426
2025-07-18 23:59:47,556 - Fold 2 Epoch 11: TrainLoss=0.6706, ValLoss=0.7333, Acc=0.4734, F1=0.6426
2025-07-18 23:59:47,775 - Fold 2 Epoch 12: TrainLoss=0.6712, ValLoss=0.7232, Acc=0.4734, F1=0.6426
2025-07-18 23:59:47,993 - Fold 2 Epoch 13: TrainLoss=0.6712, ValLoss=0.7238, Acc=0.4734, F1=0.6426
2025-07-18 23:59:48,207 - Fold 2 Epoch 14: TrainLoss=0.6708, ValLoss=0.7300, Acc=0.4734, F1=0.6426
2025-07-18 23:59:48,423 - Fold 2 Epoch 15: TrainLoss=0.6708, ValLoss=0.7273, Acc=0.4734, F1=0.6426
2025-07-18 23:59:48,677 - Fold 2 Epoch 16: TrainLoss=0.6708, ValLoss=0.7267, Acc=0.4734, F1=0.6426
2025-07-18 23:59:48,986 - Fold 2 Epoch 17: TrainLoss=0.6707, ValLoss=0.7252, Acc=0.4734, F1=0.6426
2025-07-18 23:59:49,260 - Fold 2 Epoch 18: TrainLoss=0.6707, ValLoss=0.7311, Acc=0.4734, F1=0.6426
2025-07-18 23:59:49,521 - Fold 2 Epoch 19: TrainLoss=0.6706, ValLoss=0.7235, Acc=0.4734, F1=0.6426
2025-07-18 23:59:49,784 - Fold 2 Epoch 20: TrainLoss=0.6707, ValLoss=0.7212, Acc=0.4734, F1=0.6426
2025-07-18 23:59:50,093 - Fold 2 Epoch 21: TrainLoss=0.6708, ValLoss=0.7321, Acc=0.4734, F1=0.6426
2025-07-18 23:59:50,504 - Fold 2 Epoch 22: TrainLoss=0.6711, ValLoss=0.7249, Acc=0.4734, F1=0.6426
2025-07-18 23:59:50,726 - Fold 2 Epoch 23: TrainLoss=0.6723, ValLoss=0.7321, Acc=0.4734, F1=0.6426
2025-07-18 23:59:51,059 - Fold 2 Epoch 24: TrainLoss=0.6704, ValLoss=0.7185, Acc=0.4734, F1=0.6426
2025-07-18 23:59:51,315 - Fold 2 Epoch 25: TrainLoss=0.6709, ValLoss=0.7251, Acc=0.4734, F1=0.6426
2025-07-18 23:59:51,552 - Fold 2 Epoch 26: TrainLoss=0.6712, ValLoss=0.7296, Acc=0.4734, F1=0.6426
2025-07-18 23:59:51,788 - Fold 2 Epoch 27: TrainLoss=0.6714, ValLoss=0.7212, Acc=0.4734, F1=0.6426
2025-07-18 23:59:52,004 - Fold 2 Epoch 28: TrainLoss=0.6712, ValLoss=0.7296, Acc=0.4734, F1=0.6426
2025-07-18 23:59:52,279 - Fold 2 Epoch 29: TrainLoss=0.6704, ValLoss=0.7249, Acc=0.4734, F1=0.6426
2025-07-18 23:59:52,543 - Fold 2 Epoch 30: TrainLoss=0.6706, ValLoss=0.7278, Acc=0.4734, F1=0.6426
2025-07-18 23:59:52,547 - 모델 저장 완료: output/lstm_2/sp500/sp500_fold2.pth
2025-07-18 23:59:52,547 - === [SP500] Fold 3/5 시작 ===
2025-07-18 23:59:52,792 - Fold 3 Epoch 1: TrainLoss=0.6840, ValLoss=0.6892, Acc=0.5556, F1=0.7143
2025-07-18 23:59:53,083 - Fold 3 Epoch 2: TrainLoss=0.6793, ValLoss=0.6925, Acc=0.5556, F1=0.7143
2025-07-18 23:59:53,315 - Fold 3 Epoch 3: TrainLoss=0.6780, ValLoss=0.6902, Acc=0.5556, F1=0.7143
2025-07-18 23:59:53,563 - Fold 3 Epoch 4: TrainLoss=0.6792, ValLoss=0.6887, Acc=0.5556, F1=0.7143
2025-07-18 23:59:53,787 - Fold 3 Epoch 5: TrainLoss=0.6784, ValLoss=0.6907, Acc=0.5556, F1=0.7143
2025-07-18 23:59:54,029 - Fold 3 Epoch 6: TrainLoss=0.6804, ValLoss=0.6921, Acc=0.5556, F1=0.7143
2025-07-18 23:59:54,261 - Fold 3 Epoch 7: TrainLoss=0.6780, ValLoss=0.6895, Acc=0.5556, F1=0.7143
2025-07-18 23:59:54,482 - Fold 3 Epoch 8: TrainLoss=0.6784, ValLoss=0.6894, Acc=0.5556, F1=0.7143
2025-07-18 23:59:54,752 - Fold 3 Epoch 9: TrainLoss=0.6784, ValLoss=0.6904, Acc=0.5556, F1=0.7143
2025-07-18 23:59:54,984 - Fold 3 Epoch 10: TrainLoss=0.6779, ValLoss=0.6908, Acc=0.5556, F1=0.7143
2025-07-18 23:59:55,221 - Fold 3 Epoch 11: TrainLoss=0.6785, ValLoss=0.6912, Acc=0.5556, F1=0.7143
2025-07-18 23:59:55,447 - Fold 3 Epoch 12: TrainLoss=0.6791, ValLoss=0.6919, Acc=0.5556, F1=0.7143
2025-07-18 23:59:55,772 - Fold 3 Epoch 13: TrainLoss=0.6785, ValLoss=0.6898, Acc=0.5556, F1=0.7143
2025-07-18 23:59:56,007 - Fold 3 Epoch 14: TrainLoss=0.6782, ValLoss=0.6901, Acc=0.5556, F1=0.7143
2025-07-18 23:59:56,229 - Fold 3 Epoch 15: TrainLoss=0.6781, ValLoss=0.6909, Acc=0.5556, F1=0.7143
2025-07-18 23:59:56,444 - Fold 3 Epoch 16: TrainLoss=0.6782, ValLoss=0.6916, Acc=0.5556, F1=0.7143
2025-07-18 23:59:56,655 - Fold 3 Epoch 17: TrainLoss=0.6782, ValLoss=0.6914, Acc=0.5556, F1=0.7143
2025-07-18 23:59:56,865 - Fold 3 Epoch 18: TrainLoss=0.6780, ValLoss=0.6900, Acc=0.5556, F1=0.7143
2025-07-18 23:59:57,068 - Fold 3 Epoch 19: TrainLoss=0.6780, ValLoss=0.6905, Acc=0.5556, F1=0.7143
2025-07-18 23:59:57,280 - Fold 3 Epoch 20: TrainLoss=0.6785, ValLoss=0.6914, Acc=0.5556, F1=0.7143
2025-07-18 23:59:57,480 - Fold 3 Epoch 21: TrainLoss=0.6784, ValLoss=0.6902, Acc=0.5556, F1=0.7143
